integrationSite;gene;Bcells;Monocytes;Neutrophils;NKcells;Tcells;cellCount;key;Bcells_corrected;Monocytes_corrected;Neutrophils_corrected;NKcells_corrected;Tcells_corrected;Bcells_corrected_prop;Monocytes_corrected_prop;Neutrophils_corrected_prop;NKcells_corrected_prop;Tcells_corrected_prop;Bcells_transf_logCLR;Monocytes_transf_logCLR;Neutrophils_transf_logCLR;NKcells_transf_logCLR;Tcells_transf_logCLR;cluster_num;cluster
chr1-15854126;SPEN;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-160565527;CD84;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-161034115;TSTD1;0;0;0;0;4;4;FR01|m48|Blood;0.000163218374491548;0.000443390530526415;0.00398251095540023;0.0019240998100412;0.508452800517329;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-165658453;MGST3;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-169392243;BLZF1;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-169812712;C1ORF112;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-17035502;SDHB;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-172374368;DNM3;3;0;0;1;2;6;FR01|m48|Blood;1.1277877348577;0.000532026886569533;0.0203270574055573;0.493126300495737;0.255933777390202;0.594289738114623;0.000280352507228889;0.0107113787894792;0.259853774714106;0.134864755874563;7.8238;-3.1303;-0.6354;3.8803;1.7266;6;B
chr1-173017870;TNFSF18;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-186906093;PLA2G4A;0;1;0;0;11;12;FR01|m48|Blood;0.000459140670069523;0.734487550739698;0.0189503628855565;0.0058398977685756;1.40059592458687;0.000212532371761774;0.339988137327428;0.00877196430715617;0.00270323977924614;0.648324126214408;-2.8033;9.2707;-0.2283;-1.0526;13.618;4;T
chr1-199502402;LINC01221;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-202527861;PPP1R12B;1;0;0;0;2;3;FR01|m48|Blood;0.375094350380359;0.000323019907046848;0.00777553455415758;0.00159262066084557;0.255799052029513;0.585550079624993;0.000504258014283447;0.0121381856930049;0.00248619888256083;0.399321277785158;11.2601;-2.3956;-0.1756;-1.2846;8.8376;6;B
chr1-202783877;KDM5B;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-205177133;DSTYK;0;0;0;0;6;6;FR01|m48|Blood;0.000245328231597725;0.000666445889441544;0.00598598272437458;0.00289205186171836;0.764238871943225;0.000316949794924388;0.000861009296040012;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-20776597;HP1BP3;0;0;2;1;0;3;FR01|m48|Blood;0.000177299503316342;2.35867763927594e-05;15.7384125006391;0.495510132781946;0.00129431459771499;1.09205383640811e-05;1.4527976202085e-06;0.969387585910514;0.0305203190850528;7.9721668448881e-05;-2.4987;-3.7185;56.7577;16.6097;-1.1131;5;G
chr1-20999457;EIF4G3;2;0;0;0;2;4;FR01|m48|Blood;0.750106590903613;0.000422984455178566;0.0135475973393408;0.00221728927001397;0.25581203263313;0.733883010102807;0.000413835992054402;0.0132545849291621;0.00216933292345328;0.250279236052523;13.5341;-2.4626;-0.0836;-1.3127;6.7761;6;B
chr1-226251446;LIN9;1;0;0;1;1;3;FR01|m48|Blood;0.375062537602334;0.000219861142422065;0.00774025933520589;0.491388556977738;0.128014688409002;0.374154873996423;0.000219329071267728;0.00772152765450061;0.490199380600963;0.127704888676846;5.8829;-3.2227;-0.8066;7.2663;1.8239;6;B
chr1-23055527;KDM1A;1;0;0;0;2;3;FR01|m48|Blood;0.375094350380359;0.000323019907046848;0.00777553455415758;0.00159262066084557;0.255799052029513;0.585550079624993;0.000504258014283447;0.0121381856930049;0.00248619888256083;0.399321277785158;11.2601;-2.3956;-0.1756;-1.2846;8.8376;6;B
chr1-231416874;EGLN1;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-27798299;STX12;0;0;1;0;2;3;FR01|m48|Blood;0.000166138533500371;0.000230664289695118;7.87072649175575;0.00358306227128446;0.256378892678535;2.0432516497106e-05;2.83682045651269e-05;0.967979826827163;0.000440662243885847;0.0315307102078893;-2.7798;-2.5735;41.7897;-0.6434;9.2431;2;GM
chr1-28407361;PHACTR4;0;4;4;1;1;10;FR01|m48|Blood;0.000424536947631509;2.93080301905402;31.5087545593437;0.503381633971464;0.130417821573299;1.21041110657956e-05;0.0835610786116794;0.898356354750602;0.0143520775754973;0.00371838495115511;-4.098;5.1427;21.5551;0.2561;-0.3748;2;GM
chr1-28953195;EPB41;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-35973647;AGO3;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-36008507;AGO3;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-36030534;AGO3;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-37588024;GNL2;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-39166950;MACF1;0;0;0;0;5;5;FR01|m48|Blood;0.000204273303044636;0.000554918209983979;0.00498424683988741;0.00240807583587978;0.636345836230277;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-43361540;CDC20;1;0;0;2;0;3;FR01|m48|Blood;0.375030724824309;0.000116702377797282;0.00770498411625422;0.98118449329463;0.00023032478849032;0.274895355354126;8.55421689257177e-05;0.00564770885806183;0.719202566879134;0.000168826739751981;13.5333;-2.8428;-0.0352;21.5344;-2.4063;6;B
chr1-44933913;EIF2B3;1;0;0;0;3;4;FR01|m48|Blood;0.375134403969192;0.000431827399200569;0.00875283785609628;0.00206479239337102;0.380572745407999;0.48912076711081;0.00056304019711771;0.0114124290421572;0.00269218932916944;0.496211574320746;9.8757;-2.3442;-0.2299;-1.2506;9.9663;6;B
chr1-45722733;IPP;0;0;0;0;14;14;FR01|m48|Blood;0.00057176498058082;0.00155322695049437;0.013951004635175;0.00674025148180076;1.78114447297788;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-50612423;FAF1;2;0;1;0;0;3;FR01|m48|Blood;0.750108509722901;0.000207538027043426;7.88026714555714;0.00386444743794409;0.000618782459873373;0.0868677173932495;2.40343289642465e-05;0.912589059463469;0.000447529555483119;7.16592588344807e-05;13.2632;-2.9352;35.9253;-0.9325;-2.234;2;GM
chr1-51465629;EPS15;1;0;0;1;2;4;FR01|m48|Blood;0.375103592530887;0.000331388821879629;0.00874199521969307;0.491872533003576;0.255907724121949;0.331376116839205;0.000292757369284188;0.00772290238486651;0.434532788307453;0.226075435099192;4.7542;-3.1225;-0.8971;6.0095;3.2329;6;B
chr1-51867073;NRDC;0;0;1;0;2;3;FR01|m48|Blood;0.000166138533500371;0.000230664289695118;7.87072649175575;0.00358306227128446;0.256378892678535;2.0432516497106e-05;2.83682045651269e-05;0.967979826827163;0.000440662243885847;0.0315307102078893;-2.7798;-2.5735;41.7897;-0.6434;9.2431;2;GM
chr1-52501530;ZCCHC11;0;2;2;1;1;6;FR01|m48|Blood;0.000237401323988797;1.46425542791192;15.7553482527276;0.497071873390295;0.129209746241294;1.33026836113582e-05;0.0820489387188313;0.882844330736299;0.027853213927856;0.00724021393340217;-4.1801;3.8882;18.9024;0.7948;-0.1411;2;GM
chr1-61232602;NFIA;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1-84566011;CTBS;0;1;2;0;0;3;FR01|m48|Blood;0.00017759648821555;0.733281404501832;15.7454261732948;0.00576999051019203;0.00119685891864203;1.07726605795133e-05;0.0444794362734216;0.955087195411324;0.000349996500144021;7.25991545308322e-05;-3.2227;10.9186;40.5911;-0.8692;-2.0009;2;GM
chr1-8681405;RERE;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+10064804;UBE4B;0;0;0;0;4;4;FR01|m48|Blood;0.000163218374491548;0.000443390530526415;0.00398251095540023;0.0019240998100412;0.508452800517329;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+107795053;VAV3;0;0;2;1;0;3;FR01|m48|Blood;0.000177299503316342;2.35867763927594e-05;15.7384125006391;0.495510132781946;0.00129431459771499;1.09205383640811e-05;1.4527976202085e-06;0.969387585910514;0.0305203190850528;7.9721668448881e-05;-2.4987;-3.7185;56.7577;16.6097;-1.1131;5;G
chr1+108588804;FAM102B;0;0;0;0;4;4;FR01|m48|Blood;0.000163218374491548;0.000443390530526415;0.00398251095540023;0.0019240998100412;0.508452800517329;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+150145128;VPS45;0;0;4;0;0;4;FR01|m48|Blood;0.000336114705576776;3.0435723119955e-05;31.4748920799471;0.0104604408784292;0.00237128501055675;1.06743439114244e-05;9.66578880319417e-07;0.999580848626628;0.000332203088852861;7.53073617271608e-05;-1.8437;-3.3866;73.2708;0.303;-0.4348;5;G
chr1+150837993;ARNT;1;1;0;0;1;3;FR01|m48|Blood;0.375062834587233;0.733477678867861;0.0147539319909649;0.00164841470598444;0.127917232729929;0.299365297624311;0.585442606908032;0.0117762007703719;0.00131572129669528;0.10210017340059;3.289;6.1717;-0.7826;-2.3368;0.5445;6;B
chr1+150864938;ARNT;1;2;1;0;0;4;FR01|m48|Blood;0.375115316091767;1.46422788693498;7.89042909897599;0.0043175434112866;0.000628197786886987;0.038533762809264;0.150412973486957;0.810545211885922;0.000443520129923242;6.45316879337603e-05;1.6634;7.0309;18.8001;-2.0423;-3.2696;2;GM
chr1+151659298;SNX27;0;1;1;0;13;15;FR01|m48|Blood;0.000625279203569895;0.734718215029393;7.8896768546413;0.00942296003986005;1.6569748172654;6.07573413016129e-05;0.0713913482108361;0.76662679116801;0.000915613370706388;0.161005489909146;-3.461;2.7148;16.1723;-1.7181;6.0561;2;GM
chr1+151660015;SNX27;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+154139408;NUP210L;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+15908635;SPEN;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+167086386;GPA33;0;0;0;0;4;4;FR01|m48|Blood;0.000163218374491548;0.000443390530526415;0.00398251095540023;0.0019240998100412;0.508452800517329;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+169968260;KIFAP3;0;0;0;0;6;6;FR01|m48|Blood;0.000245328231597725;0.000666445889441544;0.00598598272437458;0.00289205186171836;0.764238871943225;0.000316949794924388;0.000861009296040012;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+185267149;SWT1;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+191518338;RGS18;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+19201501;UBR4;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+196682954;CFH;0;0;1;0;2;3;FR01|m48|Blood;0.000166138533500371;0.000230664289695118;7.87072649175575;0.00358306227128446;0.256378892678535;2.0432516497106e-05;2.83682045651269e-05;0.967979826827163;0.000440662243885847;0.0315307102078893;-2.7798;-2.5735;41.7897;-0.6434;9.2431;2;GM
chr1+206091712;C1ORF186;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+20875723;EIF4G3;0;0;0;0;4;4;FR01|m48|Blood;0.000163218374491548;0.000443390530526415;0.00398251095540023;0.0019240998100412;0.508452800517329;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+20917989;EIF4G3;0;1;0;0;2;3;FR01|m48|Blood;9.16489925333395e-05;0.733489241999187;0.00998360509026889;0.00150772212265462;0.255797287839259;9.1569372410592e-05;0.732852022736131;0.009974931826758;0.00150641228806554;0.255575063776635;-3.1382;16.8512;-0.0308;-1.2668;9.3122;3;M
chr1+20991546;EIF4G3;1;0;0;0;2;3;FR01|m48|Blood;0.375094350380359;0.000323019907046848;0.00777553455415758;0.00159262066084557;0.255799052029513;0.585550079624993;0.000504258014283447;0.0121381856930049;0.00248619888256083;0.399321277785158;11.2601;-2.3956;-0.1756;-1.2846;8.8376;6;B
chr1+21055650;EIF4G3;0;0;1;0;2;3;FR01|m48|Blood;0.000166138533500371;0.000230664289695118;7.87072649175575;0.00358306227128446;0.256378892678535;2.0432516497106e-05;2.83682045651269e-05;0.967979826827163;0.000440662243885847;0.0315307102078893;-2.7798;-2.5735;41.7897;-0.6434;9.2431;2;GM
chr1+23044607;KDM1A;4;0;0;0;1;5;FR01|m48|Blood;1.50274967830187;0.000512094840410905;0.0241309236407178;0.00298708073633608;0.127945050188435;0.906185358377017;0.000308802492644792;0.0145513853724743;0.00180126395409818;0.0771531898037657;17.3057;-2.4774;8e-04;-1.2512;2.8783;6;B
chr1+235260945;ARID4B;1;0;0;5;0;6;FR01|m48|Blood;0.375058380182427;0.000141744746027683;0.0105969318000489;2.44825284638172;0.000555505126627573;0.132314141182605;5.00051067481204e-05;0.00373841514916189;0.863701465913929;0.000195972647555591;10.3507;-3.0091;-0.0897;25.9417;-2.1254;1;K
chr1+24769801;CLIC4;0;0;0;0;6;6;FR01|m48|Blood;0.000245328231597725;0.000666445889441544;0.00598598272437458;0.00289205186171836;0.764238871943225;0.000316949794924388;0.000861009296040012;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+25349538;TMEM50A;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+25476038;TMEM57;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+26237011;CEP85;0;3;0;0;0;3;FR01|m48|Blood;2.85860275465286e-05;2.19738650009634;0.0239141495253267;0.00161753465348836;3.36123439943541e-05;1.28593251518009e-05;0.988486680876651;0.010757697059321;0.000727642342737416;1.51203961387797e-05;-2.8634;46.4372;5.2621;-0.113;-2.766;3;M
chr1+26298493;UBXN11;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+26691610;LOC101928728;1;1;0;1;0;3;FR01|m48|Blood;0.375031021809208;0.733374520103237;0.0147186567720133;0.491444351022877;0.000132869109417355;0.23226029124569;0.454185839906334;0.00911540461938718;0.304356177120972;8.22871076156734e-05;4.1962;7.3936;-0.6141;5.3768;-3.7389;6;B
chr1+28025234;EYA3;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+28045371;EYA3;0;0;0;0;3;3;FR01|m48|Blood;0.000122163445938459;0.00033186285106885;0.00298077507091306;0.00144012378420261;0.380559764804381;0.000316949794924388;0.000861009296040013;0.00773354124209586;0.00373636266202487;0.987352137004915;-1.881;-1.164;0.0643;-0.1504;26.0408;4;T
chr1+28420709;PHACTR4;0;0;2;0;1;3;FR01|m48|Blood;0.000209112281341477;0.000126745541017542;15.738447775858;0.00571419646505316;0.129078678218226;1.31736084323087e-05;7.98468706474314e-06;0.991487190524804;0.000359981662736334;0.00813166951696208;-2.6495;-2.965;50.9297;-0.3353;5.4432;5;G
